_id,date,amount,description,category,subcategory,file,_manual,_business
79,22/01/2026,-341,"NDC SERVICE CO PTY LIM    MAROOCHYDORE",Medical, personal & education,Dental,ANZ Credit Card 2026-01.csv,false,false
80,22/01/2026,-163.27,"AGL SALES 0308            MELBOURNE",Home & utilities,Electricity,ANZ Credit Card 2026-01.csv,false,false
81,22/01/2026,-58.44,"DECJUBA PTY LTD           MAROOCHYDORE",Medical, personal & education,Clothing & shoes,ANZ Credit Card 2026-01.csv,false,false
82,22/01/2026,-287.3,"QTIX TICKETING            SOUTH BRISBAN",Eating-out & Entertainment,Movies, shows & music,ANZ Credit Card 2026-01.csv,false,false
83,22/01/2026,-13.5,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
84,22/01/2026,-40.5,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
85,21/01/2026,-122.2,"ALH VENUES/81 BURNETT ST  BUDERIM",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
86,21/01/2026,-132.98,"THE GREEN AT TANAWHA      TANAWHA",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
87,21/01/2026,-115.36,"Bli Bli Watersports Compl Bli Bli",Medical, personal & education,Hobbies,ANZ Credit Card 2026-01.csv,false,false
88,21/01/2026,-64,"FITSTOP SIPPY DO          SUNSHINE COAS",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
89,21/01/2026,-64,"FITSTOP SIPPY DO          SUNSHINE COAS",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
90,21/01/2026,-14.1,"WELLINGTON BAKERY PART    MAROOCHYDORE",Groceries,Deli & bakery,ANZ Credit Card 2026-01.csv,false,false
91,20/01/2026,-9.3,"Boost Sunshine Plaza      Maroochydore",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
92,20/01/2026,-308.14,"WOOLWORTHS/SUNSHINE PLZ S MAROOCHYDORE",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
93,20/01/2026,-20,"BWS/50 PARK PLAZA         MAROOCHYDORE",Eating-out & Entertainment,Drinks & alcohol,ANZ Credit Card 2026-01.csv,false,false
94,20/01/2026,-68.07,"SQ *WALTER'S DINER        Maroochydore",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
95,20/01/2026,-1.02,"SQ *WALTER'S DINER        Maroochydore",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
96,20/01/2026,-120,"TARGET 5038               MAROOCHYDORE",Medical, personal & education,Shopping,ANZ Credit Card 2026-01.csv,false,false
97,20/01/2026,-16.45,"Audible Limited AU        MELBOURNE",Home & utilities,Streaming Services,ANZ Credit Card 2026-01.csv,false,false
98,20/01/2026,-35.95,"Microsoft*14 Day Trial Re msbill.info",Eating-out & Entertainment,Movies, shows & music,ANZ Credit Card 2026-01.csv,false,false
99,20/01/2026,-253.91,"MYER  MAROOCHYDORE        MAROOCHYDORE",Medical, personal & education,Shopping,ANZ Credit Card 2026-01.csv,false,false
100,20/01/2026,-28.99,"Bonds Sunshine Plaza      Maroochydore",Medical, personal & education,Clothing & shoes,ANZ Credit Card 2026-01.csv,false,false
101,20/01/2026,-112.46,"DECJUBA PTY LTD           MAROOCHYDORE",Medical, personal & education,Clothing & shoes,ANZ Credit Card 2026-01.csv,false,false
102,20/01/2026,-66.7,"Sunshine Krua Thai        Buderim",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
103,20/01/2026,-107.9,"SMP*Orchid Massage in03   Sippy Downs",Medical, personal & education,Hair & beauty,ANZ Credit Card 2026-01.csv,false,false
104,20/01/2026,-130,"SMP*Orchid Massage in03   Sippy Downs",Medical, personal & education,Hair & beauty,ANZ Credit Card 2026-01.csv,false,false
105,19/01/2026,-85,"L/LAND QLD    2266        SIPPY DOWNS",Eating-out & Entertainment,Drinks & alcohol,ANZ Credit Card 2026-01.csv,false,false
106,19/01/2026,-54.43,"SQ *AN NAM VIETNAMESE KIT Sippy Downs",Eating-out & Entertainment,Lunches bought,ANZ Credit Card 2026-01.csv,false,false
107,19/01/2026,-24.36,"Aussie World              Palmview",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
108,19/01/2026,-24.36,"Aussie World              Palmview",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
109,19/01/2026,-24.36,"Aussie World              Palmview",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
110,19/01/2026,-75.11,"Aussie World              Palmview",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
111,19/01/2026,-34.51,"Aussie World              Palmview",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
112,19/01/2026,-165.85,"SPER QLD TREASURY         BRISBANE",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
113,19/01/2026,-65.64,"SPINTEL PTY LTD           SURRY HILLS",Home & utilities,Internet,ANZ Credit Card 2026-01.csv,false,false
114,19/01/2026,-87.41,"YOUI - PREMIUM            SIPPY DOWNS",Financial & Insurance,Car insurance,ANZ Credit Card 2026-01.csv,false,false
115,19/01/2026,-44.96,"DAVID JONES PTY LTD -     MAROOCHYDORE",Medical, personal & education,Shopping,ANZ Credit Card 2026-01.csv,false,false
116,19/01/2026,-16,"KMART 1060                MAROOCHYDORE",Medical, personal & education,Shopping,ANZ Credit Card 2026-01.csv,false,false
117,19/01/2026,-79.94,"Forever New Clothing      Richmond",Medical, personal & education,Clothing & shoes,ANZ Credit Card 2026-01.csv,false,false
118,19/01/2026,-24.36,"Aussie World              Palmview",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
119,19/01/2026,-51,"Mecca Brands Pty Ltd      Richmond",Medical, personal & education,Hair & beauty,ANZ Credit Card 2026-01.csv,false,false
120,19/01/2026,-4,"POINTPARKING SUNSHINE     MAROOCHYDORE",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
121,19/01/2026,-56.99,"COTTON ON BODY 4839       MAROOCHYDORE",Medical, personal & education,Clothing & shoes,ANZ Credit Card 2026-01.csv,false,false
122,19/01/2026,-83,"Sunshine Coast Regiona... Sunshine C...",Home & utilities,Council rates,ANZ Credit Card 2026-01.csv,false,false
123,19/01/2026,-51.99,"AMPOL SIPPY DOW 10262F    SIPPY DOWNS",Car & Transport,Petrol,ANZ Credit Card 2026-01.csv,false,false
124,19/01/2026,-36.03,"CHANCELLOR TAVERN APP     Sippy Downs",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
125,19/01/2026,-14.85,"MCDONALDS MEADOWBROO      MEADOWBROOK",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
126,19/01/2026,-13.4,"MCDONALDS SOUTHBANK       SOUTH BRISBAN",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
127,19/01/2026,-18.3,"SMP*Mrs Luus Southpoin    Southbank",Eating-out & Entertainment,Lunches bought,ANZ Credit Card 2026-01.csv,false,false
128,19/01/2026,-4.05,"SFS THE CONTAINER BY      BIRTINYA",Eating-out & Entertainment,Coffee & tea,ANZ Credit Card 2026-01.csv,false,false
129,19/01/2026,-201.87,"YOUI - PREMIUM            SIPPY DOWNS",Financial & Insurance,Car insurance,ANZ Credit Card 2026-01.csv,false,false
130,19/01/2026,-27.99,"SPOTIFY                   SYDNEY",Home & utilities,Streaming Services,ANZ Credit Card 2026-01.csv,false,false
131,16/01/2026,-20,"SOUTHBANK CARPARK         SOUTH BANK",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
132,16/01/2026,-4.3,"WOOLWORTHS/217 GREY STREE STH BRISBANE",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
133,16/01/2026,-38,"BWS/163 KARAWATHA ST - SH BUDERIM",Eating-out & Entertainment,Drinks & alcohol,ANZ Credit Card 2026-01.csv,false,false
134,16/01/2026,-9.09,"SECURE PARKING PTY LTD    NORTH SYDNEY",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
135,16/01/2026,-40,"HUBBL - KAYO SPORTS       131999",Home & utilities,Streaming Services,ANZ Credit Card 2026-01.csv,false,false
136,16/01/2026,-140,"TELSTRA SERVICES          MELBOURNE",Home & utilities,Mobile,ANZ Credit Card 2026-01.csv,false,false
137,15/01/2026,9775,"PAYMENT THANKYOU 279885",Financial & Insurance,Transfer,ANZ Credit Card 2026-01.csv,false,false
138,15/01/2026,-33,"BWS/163 KARAWATHA ST - SH BUDERIM",Eating-out & Entertainment,Drinks & alcohol,ANZ Credit Card 2026-01.csv,false,false
139,15/01/2026,-12.5,"WOOLWORTHS/KARAWATHA DR & MOUNTAIN CRK",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
140,15/01/2026,-725,"EZI*Dietitians Austral    DEAKIN",Medical, personal & education,Education & Professional Memberships,ANZ Credit Card 2026-01.csv,false,false
141,15/01/2026,-160,"IPY*COBBCO NINE MILE      Tandur",Eating-out & Entertainment,Holidays,ANZ Credit Card 2026-01.csv,false,false
142,15/01/2026,-51.99,"AMPOL SIPPY DOW 10262F    SIPPY DOWNS",Car & Transport,Petrol,ANZ Credit Card 2026-01.csv,false,false
143,14/01/2026,-8.3,"COLES 4647                SIPPY DOWNS",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
144,14/01/2026,-16.09,"SQ *AN NAM VIETNAMESE KIT Sippy Downs",Eating-out & Entertainment,Lunches bought,ANZ Credit Card 2026-01.csv,false,false
145,14/01/2026,-39.18,"WOOLWORTHS/KARAWATHA DR & MOUNTAIN CRK",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
146,14/01/2026,-151.2,"Amino Z                   Caringbah",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
147,14/01/2026,-64,"FITSTOP SIPPY DO          SUNSHINE COAS",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
148,14/01/2026,-64,"FITSTOP SIPPY DO          SUNSHINE COAS",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
149,14/01/2026,-69.18,"TERRY WHITE CHEMAR        MINYAMA",Medical, personal & education,Medicines & pharmacy,ANZ Credit Card 2026-01.csv,false,false
150,14/01/2026,-7.7,"EVENT CINEMAS KAWANA      BUDDINA",Eating-out & Entertainment,Movies, shows & music,ANZ Credit Card 2026-01.csv,false,false
151,13/01/2026,-650,"THEKINKINWOOD260314NB     KIN KIN",Eating-out & Entertainment,Holidays,ANZ Credit Card 2026-01.csv,false,false
152,13/01/2026,-105.93,"Liberty Tanawha           Tanawha",Car & Transport,Petrol,ANZ Credit Card 2026-01.csv,false,false
153,13/01/2026,-23.8,"ALH VENUES/2/46 DAVID LOW DIDDILLIBAH",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
154,13/01/2026,-25,"BWS/163 KARAWATHA ST - SH BUDERIM",Eating-out & Entertainment,Drinks & alcohol,ANZ Credit Card 2026-01.csv,false,false
155,13/01/2026,-134.38,"COLES 4647                SIPPY DOWNS",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
156,13/01/2026,-23.8,"ALH VENUES/2/46 DAVID LOW DIDDILLIBAH",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
157,13/01/2026,-83.6,"SPRINGBOK FOODS PTY LT    FOREST GLEN",Groceries,Deli & bakery,ANZ Credit Card 2026-01.csv,false,false
158,13/01/2026,-141.3,"EVENT KAWANA              BUDDINA",Eating-out & Entertainment,Celebrations & gifts,ANZ Credit Card 2026-01.csv,false,false
159,12/01/2026,-146.45,"POMONA DISTILLING CO      POMONA",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
160,12/01/2026,-104.07,"COLES 4647                SIPPY DOWNS",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
161,12/01/2026,-113.38,"Liberty Tanawha           Tanawha",Car & Transport,Petrol,ANZ Credit Card 2026-01.csv,false,false
162,12/01/2026,-37.61,"Pomona Distilling Co      Pomona",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
163,12/01/2026,-19.95,"POMONA TRUE VALUE HA      POMONA",Home & utilities,Home improvements & Maintenance,ANZ Credit Card 2026-01.csv,false,false
164,12/01/2026,-69.54,"ZLR*Bombay Bliss - Maro   Maroochydore",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
165,12/01/2026,-4.05,"SFS THE CONTAINER BY      BIRTINYA",Eating-out & Entertainment,Coffee & tea,ANZ Credit Card 2026-01.csv,false,false
166,12/01/2026,-8.7,"COLES 4647                SIPPY DOWNS",Groceries,Supermarket,ANZ Credit Card 2026-01.csv,false,false
167,12/01/2026,-23.1,"Maroochy RSL              Maroochydore",Eating-out & Entertainment,Bars & clubs,ANZ Credit Card 2026-01.csv,false,false
168,12/01/2026,-32.18,"SQ *AN NAM VIETNAMESE KIT Sippy Downs",Eating-out & Entertainment,Lunches bought,ANZ Credit Card 2026-01.csv,false,false
169,12/01/2026,-32,"Dominos Estore Buderim    dominos.com.a",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
170,12/01/2026,-4.9,"AMPOL SIPPY DOW 10262F    SIPPY DOWNS",Car & Transport,Petrol,ANZ Credit Card 2026-01.csv,false,false
171,12/01/2026,-190,"MAMMOTH FOREST GLEN       FOREST GLEN",Home & utilities,Furniture & appliances,ANZ Credit Card 2026-01.csv,false,false
172,12/01/2026,-18,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
173,12/01/2026,-18,"THEPICKLEB* EVT SOCIAL    NAMBOUR",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
174,12/01/2026,-194.88,"Pavilion Mooloolaba       Mooloolaba",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
175,12/01/2026,-25,"MCDONALDS SIPPY DOWN      SIPPY DOWNS",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
176,12/01/2026,-16.25,"SUBWAY SIPPYDOWNS         SIPPY DOWNS",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
177,12/01/2026,-5.31,"SFS THE CONTAINER BY      BIRTINYA",Eating-out & Entertainment,Coffee & tea,ANZ Credit Card 2026-01.csv,false,false
178,12/01/2026,-154,"SpaghettiHouse            South Brisban",Eating-out & Entertainment,Restaurants,ANZ Credit Card 2026-01.csv,false,false
179,12/01/2026,-10.7,"MCDONALDS SOUTHBANK       SOUTH BRISBAN",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
180,12/01/2026,-33.47,"DBS*Goodlife Queen Str    Brisbane",Medical, personal & education,Sports & gym,ANZ Credit Card 2026-01.csv,false,false
181,12/01/2026,-4.75,"ROBINSON'S VENDING PTY LT NARANGBA",Eating-out & Entertainment,Take-away & snacks,ANZ Credit Card 2026-01.csv,false,false
182,9/01/2026,-20,"SOUTHBANK CARPARK         SOUTH BANK",Car & Transport,Road tolls & parking,ANZ Credit Card 2026-01.csv,false,false
183,9/01/2026,-95.95,"Suncoast Health Cntre     Forest Glen",Medical, personal & education,Doctors & medical,ANZ Credit Card 2026-01.csv,false,false
